0.670: [GC0.670: [DefNew: 447K->63K(448K), 0.0006300 secs] 9796K->9622K(1048512K), 0.0006930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.680: [GC0.680: [DefNew: 447K->63K(448K), 0.0006240 secs] 10006K->9819K(1048512K), 0.0006790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.688: [GC0.688: [DefNew: 447K->64K(448K), 0.0007330 secs] 10202K->9986K(1048512K), 0.0008000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.700: [GC0.700: [DefNew: 447K->63K(448K), 0.0024710 secs] 10370K->10219K(1048512K), 0.0027380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.716: [GC0.716: [DefNew: 447K->64K(448K), 0.0015700 secs] 10603K->10493K(1048512K), 0.0016620 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.727: [GC0.727: [DefNew: 448K->63K(448K), 0.0013850 secs] 10877K->10741K(1048512K), 0.0015040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.739: [GC0.739: [DefNew: 447K->64K(448K), 0.0018200 secs] 11125K->11007K(1048512K), 0.0019020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.753: [GC0.753: [DefNew: 448K->63K(448K), 0.0025330 secs] 11391K->11293K(1048512K), 0.0028260 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.766: [GC0.766: [DefNew: 447K->64K(448K), 0.0024320 secs] 11677K->11603K(1048512K), 0.0025860 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.779: [GC0.779: [DefNew: 448K->63K(448K), 0.0022180 secs] 11987K->11881K(1048512K), 0.0023780 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.789: [GC0.789: [DefNew: 447K->63K(448K), 0.0027040 secs] 12265K->12103K(1048512K), 0.0028400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.801: [GC0.801: [DefNew: 447K->64K(448K), 0.0006880 secs] 12487K->12345K(1048512K), 0.0007450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.811: [GC0.811: [DefNew: 448K->63K(448K), 0.0009390 secs] 12729K->12523K(1048512K), 0.0010360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.821: [GC0.821: [DefNew: 447K->64K(448K), 0.0009080 secs] 12907K->12717K(1048512K), 0.0009740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.832: [GC0.832: [DefNew: 448K->63K(448K), 0.0007570 secs] 13101K->12900K(1048512K), 0.0008340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.840: [GC0.840: [DefNew: 447K->63K(448K), 0.0016910 secs] 13284K->13070K(1048512K), 0.0017970 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
0.852: [GC0.852: [DefNew: 447K->64K(448K), 0.0018210 secs] 13453K->13233K(1048512K), 0.0019920 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.864: [GC0.864: [DefNew: 448K->64K(448K), 0.0013500 secs] 13617K->13464K(1048512K), 0.0016060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.876: [GC0.876: [DefNew: 448K->64K(448K), 0.0011490 secs] 13848K->13685K(1048512K), 0.0012390 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.886: [GC0.886: [DefNew: 448K->63K(448K), 0.0006600 secs] 14069K->13797K(1048512K), 0.0007210 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.895: [GC0.895: [DefNew: 447K->63K(448K), 0.0005860 secs] 14181K->13907K(1048512K), 0.0006370 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.905: [GC0.905: [DefNew: 447K->64K(448K), 0.0004430 secs] 14291K->14004K(1048512K), 0.0004900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.914: [GC0.914: [DefNew: 448K->64K(448K), 0.0005940 secs] 14388K->14104K(1048512K), 0.0006460 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.924: [GC0.924: [DefNew: 448K->64K(448K), 0.0004410 secs] 14488K->14194K(1048512K), 0.0004840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.934: [GC0.934: [DefNew: 448K->63K(448K), 0.0004750 secs] 14578K->14287K(1048512K), 0.0005180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.943: [GC0.943: [DefNew: 447K->64K(448K), 0.0004740 secs] 14671K->14386K(1048512K), 0.0005180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.953: [GC0.953: [DefNew: 448K->63K(448K), 0.0004170 secs] 14770K->14481K(1048512K), 0.0004540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.961: [GC0.962: [DefNew: 405K->63K(448K), 0.0004180 secs] 14822K->14558K(1048512K), 0.0004680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.965: [GC0.965: [DefNew: 447K->23K(448K), 0.0013990 secs] 14942K->14838K(1048512K), 0.0014490 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.975: [GC0.975: [DefNew: 407K->63K(448K), 0.0003520 secs] 15222K->14930K(1048512K), 0.0003830 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.985: [GC0.985: [DefNew: 447K->63K(448K), 0.0006060 secs] 15314K->15020K(1048512K), 0.0006600 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.994: [GC0.994: [DefNew: 447K->64K(448K), 0.0004140 secs] 15404K->15115K(1048512K), 0.0004480 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
